"BundledFile","SHA256","OriginalName","RepresentativeSource","SourceCopies","AllSourcePaths"
"6AA4A42CFB4E--apex_result.h","6AA4A42CFB4EFCA6F932C958438E2835F45F19798BA976C3A8F861C7127BC8DD","apex_result.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_result.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_result.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_result.h"
"A0050B91A77F--apex_subagent_pool.cpp","A0050B91A77F53C54EF1FD3CC3770F1A8C4537FCD450D12FB66075168A7C0D29","apex_subagent_pool.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_subagent_pool.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_subagent_pool.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_subagent_pool.cpp"
"8801C840A2F4--apex_subagent_pool.h","8801C840A2F4C90ED130C2312F9EB33F493E178A2671FC2F2C983DD1B7F1453A","apex_subagent_pool.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_subagent_pool.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_subagent_pool.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_subagent_pool.h"
"703E10613136--apex_task.cpp","703E1061313644BDF984F949961DD06C4A09E3E8B5A63409C33CC858C0DC8DB0","apex_task.cpp","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_task.cpp","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_task.cpp"
"C0C8D56FE53D--apex_task.h","C0C8D56FE53D34C640191A4D9A276B6D621468A7EFDCF48E5D3E1449F94E68AC","apex_task.h","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_task.h","1","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Apex\apex_task.h"
"8959A4C37C5F--skill_loader.cpp","8959A4C37C5FCB63A557079619012D8A1AA01B9A5B2162975FDB56DEDC09051F","skill_loader.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_loader.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\skill_loader.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_loader.cpp"
"E6ED4068EA49--skill_loader.h","E6ED4068EA4968B2C69C839D3784ABAA36B02074C8A09F3D6395A38A29CEBF21","skill_loader.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_loader.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\skill_loader.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_loader.h"
"80BEBFE4B5CF--skill_registry.cpp","80BEBFE4B5CF6736F56116ADD704734A2492599250C14CFB8E5EB54CF975DFE5","skill_registry.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_registry.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\skill_registry.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_registry.cpp"
"4E034784DBEA--skill_registry.h","4E034784DBEAB986EF216797E0F06E468C509FC790556AC1E1E8F1CAF41DDF94","skill_registry.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_registry.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\skill_registry.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\skill_registry.h"
"504C087B8244--workspace_guard.cpp","504C087B82444D6846F362E263ACEC545476F2C0C7B823CC44A8717EF92F2B16","workspace_guard.cpp","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\workspace_guard.cpp","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\workspace_guard.cpp | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\workspace_guard.cpp"
"99DEF183DBF7--workspace_guard.h","99DEF183DBF7627681778DBA9E99A5DA7936D8B0E102BD7D913DF524B71D8A77","workspace_guard.h","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\workspace_guard.h","2","D:\Nova_Helios_Collection_2026-08-23\Main-PC\C_drive\root\Claude work\src\Skills\workspace_guard.h | D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Skills\workspace_guard.h"
"BF0FF3B51F1D--apex_react_loop.cpp","BF0FF3B51F1D62F1236ED0955BB4BE9AD6D96D2CFD0C5590D81C32D782758B1D","apex_react_loop.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_react_loop.cpp","1","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_react_loop.cpp"
"251BE994BDDC--apex_react_loop.h","251BE994BDDCC7EFB736B8F6EA895EE365D8423F9FE52B53E56D1D3A7D6F90ED","apex_react_loop.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_react_loop.h","1","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_react_loop.h"
"9C7B92956BD6--apex_task.cpp","9C7B92956BD644ECB71EC1EB5D816DFB4B32899A444B33E3A3AB6B6EC9E87160","apex_task.cpp","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_task.cpp","1","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_task.cpp"
"E3FFFF6D83E1--apex_task.h","E3FFFF6D83E132D27AF3638BE426C02DB33EFC18D06C4D951C7931CDA8E46692","apex_task.h","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_task.h","1","D:\Nova_Helios_Collection_2026-08-23\Server-PC\C_drive\Users_WinPro_Desktop_Nova\src\Apex\apex_task.h"
